title,artist,service,source_id
5 Years Of Shall Not Fade LP,Various Artists,bandcamp,collection:package:2306211219
Lost Boi EP,Justin Jay,bandcamp,collection:package:947315320
Ego EP,Computer Data,bandcamp,collection:package:1038013861
PUT THE NEEDLE ON THE RECORD,DJ SWISHERMAN,bandcamp,collection:album_track:1766176933
Look Alive,Stupid Child,bandcamp,collection:album_track:103230424
Manifest Content,Hyden,bandcamp,collection:album_track:883745577
Drops Of You,Alarico,bandcamp,collection:album_track:3142935243
Permean (Original Mix),Regent,bandcamp,collection:album_track:3602250879
Obedience Spa,Funk Assault,bandcamp,collection:album_track:245392091
Iruka,Alarico,bandcamp,collection:album_track:1738379171
Carnal Fever,Alarico,bandcamp,collection:album_track:2046297185
REMONTADA,Pōnky,bandcamp,collection:album_track:3401466072
Bondaruk y Jaspe - To Paul and Louis with love (Original Mix),"Bondaruk , Jaspe",bandcamp,collection:album_track:959001908
Silver Back,Seigg,bandcamp,collection:album_track:903494178
Bring It Down,Kenji Hina,bandcamp,collection:album_track:3036837571
Brainprint,No Valentia,bandcamp,collection:album_track:3321669506
Badlands,FANK,bandcamp,collection:album_track:2383037031
This Is The Way,Seigg,bandcamp,collection:album_track:3781022449
Morgana,"Len Faki, Jancen",bandcamp,collection:album_track:3036012002
Denn Punk - Tropische Instelling,Denn Punk,bandcamp,collection:album_track:3173920504
Furious Loop,Seigg,bandcamp,collection:album_track:1232953504
CULT - Keep Steppin',Rave Your Soul,bandcamp,collection:album_track:2952673582
Brainstorm (Gerd Janson & Shan House Mix),Special Request,bandcamp,collection:album_track:3904442984
Original Mix - V.I.C.A.R.I.,Robsoul Recordings,bandcamp,collection:album_track:1397736714
wivoutme,jenny sparks,bandcamp,collection:album_track:1287635697
Nord Dab,LDS,bandcamp,collection:album_track:624286630
Oh Honey (Radio Edit),Discoloco,bandcamp,collection:album_track:2940416549
Shiva | شيڤا,Bu Kolthoum,bandcamp,collection:album_track:1140779285
8 Bars,Yan Cook,bandcamp,collection:album_track:3773239570
Goldene Gabe,Der Buttler & Figub Brazlevic,bandcamp,collection:album_track:2824339198
Förde (feat. KOE The Flavekid),Der Buttler,bandcamp,collection:album_track:702826077
Gib Ab,Der Buttler & Figub Brazlevic,bandcamp,collection:album_track:1627512404
Real Love,Fidde,bandcamp,collection:album_track:3560440670
